Protein Uniprot,Protein names,Length,Mass
O14792,Heparan sulfate glucosamine 3-O-sulfotransferase 1 (EC 2.8.2.23) (Heparan sulfate D-glucosaminyl 3-O-sulfotransferase 1) (3-OST-1) (Heparan sulfate 3-O-sulfotransferase 1) (h3-OST-1),307,35773
O14793,Growth/differentiation factor 8 (GDF-8) (Myostatin),375,42750
O14795,Protein unc-13 homolog B (Munc13-2) (munc13),1591,180679
O14796,SH2 domain-containing protein 1B (EWS/FLI1-activated transcript 2) (EAT-2),132,15297
O14798,Tumor necrosis factor receptor superfamily member 10C (Antagonist decoy receptor for TRAIL/Apo-2L) (Decoy TRAIL receptor without death domain) (Decoy receptor 1) (DcR1) (Lymphocyte inhibitor of TRAIL) (TNF-related apoptosis-inducing ligand receptor 3) (TRAIL receptor 3) (TRAIL-R3) (TRAIL receptor without an intracellular domain) (CD antigen CD263),259,27407
O14802,DNA-directed RNA polymerase III subunit RPC1 (RNA polymerase III subunit C1) (EC 2.7.7.6) (DNA-directed RNA polymerase III largest subunit) (DNA-directed RNA polymerase III subunit A) (RNA polymerase III 155 kDa subunit) (RPC155) (RNA polymerase III subunit C160),1390,155641
O14804,Trace amine-associated receptor 5 (TaR-5) (Trace amine receptor 5) (hTaar5) (Putative neurotransmitter receptor),337,38242
O14807,Ras-related protein M-Ras (EC 3.6.5.2) (Ras-related protein R-Ras3),208,23846
O14810,Complexin-1 (Complexin I) (CPX I) (Synaphin-2),134,15030
O14813,Paired mesoderm homeobox protein 2A (ARIX1 homeodomain protein) (Aristaless homeobox protein homolog) (Paired-like homeobox 2A),284,29653
O14815,Calpain-9 (EC 3.4.22.-) (Digestive tract-specific calpain) (New calpain 4) (nCL-4) (Protein CG36),690,79097
O14817,Tetraspanin-4 (Tspan-4) (Novel antigen 2) (NAG-2) (Transmembrane 4 superfamily member 7),238,26118
O14818,Proteasome subunit alpha type-7 (Proteasome subunit RC6-1) (Proteasome subunit XAPC7),248,27887
O14827,Ras-specific guanine nucleotide-releasing factor 2 (Ras-GRF2) (Ras guanine nucleotide exchange factor 2),1237,140764
O14828,Secretory carrier-associated membrane protein 3 (Secretory carrier membrane protein 3),347,38287
O14829,Serine/threonine-protein phosphatase with EF-hands 1 (PPEF-1) (EC 3.1.3.16) (Protein phosphatase with EF calcium-binding domain) (PPEF) (Serine/threonine-protein phosphatase 7) (PP7),653,75792
O14830,Serine/threonine-protein phosphatase with EF-hands 2 (PPEF-2) (EC 3.1.3.16),753,86518
O14832,"Phytanoyl-CoA dioxygenase, peroxisomal (EC 1.14.11.18) (Phytanic acid oxidase) (Phytanoyl-CoA alpha-hydroxylase) (PhyH)",338,38538
O14836,Tumor necrosis factor receptor superfamily member 13B (Transmembrane activator and CAML interactor) (CD antigen CD267),293,31816
O14841,5-oxoprolinase (EC 3.5.2.9) (5-oxo-L-prolinase) (5-OPase) (Pyroglutamase),1288,137457
O14842,Free fatty acid receptor 1 (G-protein coupled receptor 40),300,31457
O14843,Free fatty acid receptor 3 (G-protein coupled receptor 41),346,38649
O14862,Interferon-inducible protein AIM2 (Absent in melanoma 2),343,38954
O14863,Probable proton-coupled zinc antiporter SLC30A4 (Solute carrier family 30 member 4) (Zinc transporter 4) (ZnT-4),429,47483
O14867,Transcription regulator protein BACH1 (BTB and CNC homolog 1) (HA2303),736,81958
O14874,"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial (EC 2.7.11.4) (Branched-chain alpha-ketoacid dehydrogenase kinase) (BCKD-kinase) (BCKDHKIN)",412,46360
O14879,Interferon-induced protein with tetratricopeptide repeats 3 (IFIT-3) (CIG49) (ISG-60) (Interferon-induced 60 kDa protein) (IFI-60K) (Interferon-induced protein with tetratricopeptide repeats 4) (IFIT-4) (Retinoic acid-induced gene G protein) (P60) (RIG-G),490,55985
O14880,Microsomal glutathione S-transferase 3 (Microsomal GST-3) (Glutathione peroxidase MGST3) (EC 1.11.1.-) (LTC4 synthase MGST3) (EC 4.4.1.20) (Microsomal glutathione S-transferase III) (Microsomal GST-III),152,16516
O14893,Gem-associated protein 2 (Gemin-2) (Component of gems 2) (Survival of motor neuron protein-interacting protein 1) (SMN-interacting protein 1),280,31585
O14894,Transmembrane 4 L6 family member 5 (Tetraspan transmembrane protein L6H),197,20823
O14896,Interferon regulatory factor 6 (IRF-6),467,53130
O14901,Krueppel-like factor 11 (Transforming growth factor-beta-inducible early growth response protein 2) (TGFB-inducible early growth response protein 2) (TIEG-2),512,55139
O14904,Protein Wnt-9a (Protein Wnt-14),365,40320
O14905,Protein Wnt-9b (Protein Wnt-14b) (Protein Wnt-15),357,39001
O14907,Tax1-binding protein 3 (Glutaminase-interacting protein 3) (Tax interaction protein 1) (TIP-1) (Tax-interacting protein 1),124,13735
O14908,PDZ domain-containing protein GIPC1 (GAIP C-terminus-interacting protein) (RGS-GAIP-interacting protein) (RGS19-interacting protein 1) (Synectin) (Tax interaction protein 2) (TIP-2),333,36049
O14910,Protein lin-7 homolog A (Lin-7A) (hLin-7) (Mammalian lin-seven protein 1) (MALS-1) (Tax interaction protein 33) (TIP-33) (Vertebrate lin-7 homolog 1) (Veli-1),233,25997
O14917,Protocadherin-17 (Protocadherin-68),1159,126229
O14920,Inhibitor of nuclear factor kappa-B kinase subunit beta (I-kappa-B-kinase beta) (IKK-B) (IKK-beta) (IkBKB) (EC 2.7.11.10) (I-kappa-B kinase 2) (IKK2) (Nuclear factor NF-kappa-B inhibitor kinase beta) (NFKBIKB) (Serine/threonine protein kinase IKBKB) (EC 2.7.11.1),756,86564
O14924,Regulator of G-protein signaling 12 (RGS12),1447,156357
O14925,Mitochondrial import inner membrane translocase subunit Tim23,209,21943
O14926,Fascin-2 (Retinal fascin),492,55057
O14929,Histone acetyltransferase type B catalytic subunit (EC 2.3.1.48) (Histone acetyltransferase 1),419,49541
O14931,Natural cytotoxicity triggering receptor 3 (Activating natural killer receptor p30) (Natural killer cell p30-related protein) (NK-p30) (NKp30) (CD antigen CD337),201,21593
O14933,Ubiquitin/ISG15-conjugating enzyme E2 L6 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme L6) (Retinoic acid-induced gene B protein) (RIG-B) (UbcH8) (Ubiquitin carrier protein L6) (Ubiquitin-protein ligase L6),153,17769
O14936,Peripheral plasma membrane protein CASK (hCASK) (EC 2.7.11.1) (Calcium/calmodulin-dependent serine protein kinase) (Protein lin-2 homolog),926,105123
O14939,Phospholipase D2 (PLD 2) (hPLD2) (EC 3.1.4.4) (Choline phosphatase 2) (PLD1C) (Phosphatidylcholine-hydrolyzing phospholipase D2),933,105987
O14944,Proepiregulin [Cleaved into: Epiregulin (EPR)],169,19044
O14948,Transcription factor EC (TFE-C) (Class E basic helix-loop-helix protein 34) (bHLHe34) (Transcription factor EC-like) (hTFEC-L),347,38788
O14949,Cytochrome b-c1 complex subunit 8 (Complex III subunit 8) (Complex III subunit VIII) (Ubiquinol-cytochrome c reductase complex 9.5 kDa protein) (Ubiquinol-cytochrome c reductase complex ubiquinone-binding protein QP-C),82,9906
O14950,"Myosin regulatory light chain 12B (MLC-2A) (MLC-2) (Myosin regulatory light chain 2-B, smooth muscle isoform) (Myosin regulatory light chain 20 kDa) (MLC20) (Myosin regulatory light chain MRLC2) (SHUJUN-1)",172,19779
O14958,"Calsequestrin-2 (Calsequestrin, cardiac muscle isoform)",399,46436
O14960,Leukocyte cell-derived chemotaxin-2 (LECT-2) (hLECT2),151,16390
O14964,Hepatocyte growth factor-regulated tyrosine kinase substrate (Hrs) (Protein pp110),777,86192
O14965,Aurora kinase A (EC 2.7.11.1) (Aurora 2) (Aurora/IPL1-related kinase 1) (ARK-1) (Aurora-related kinase 1) (Breast tumor-amplified kinase) (Ipl1- and aurora-related kinase 1) (Serine/threonine-protein kinase 15) (Serine/threonine-protein kinase 6) (Serine/threonine-protein kinase Ayk1) (Serine/threonine-protein kinase aurora-A),403,45823
O14966,Ras-related protein Rab-7L1 (Rab-7-like protein 1) (Ras-related protein Rab-29),203,23155
O14967,Calmegin,610,70039
O14972,Vacuolar protein sorting-associated protein 26C (Down syndrome critical region protein 3) (Down syndrome critical region protein A),297,33010
O14974,Protein phosphatase 1 regulatory subunit 12A (Myosin phosphatase-targeting subunit 1) (Myosin phosphatase target subunit 1) (Protein phosphatase myosin-binding subunit),1030,115281
O14975,"Long-chain fatty acid transport protein 2 (Arachidonate--CoA ligase) (EC 6.2.1.15) (Fatty acid transport protein 2) (FATP-2) (Fatty-acid-coenzyme A ligase, very long-chain 1) (Long-chain-fatty-acid--CoA ligase) (EC 6.2.1.3) (Phytanate--CoA ligase) (EC 6.2.1.24) (Solute carrier family 27 member 2) (THCA-CoA ligase) (EC 6.2.1.7) (Very long-chain acyl-CoA synthetase) (VLACS) (VLCS) (EC 6.2.1.-) (Very long-chain-fatty-acid-CoA ligase)",620,70312
O14976,Cyclin-G-associated kinase (EC 2.7.11.1),1311,143191
O14977,Antizyme inhibitor 1 (AZI) (AZI1) (Ornithine decarboxylase antizyme inhibitor),448,49535
O14978,Zinc finger protein 263 (Zinc finger protein FPM315) (Zinc finger protein with KRAB and SCAN domains 12),683,77299
O14979,Heterogeneous nuclear ribonucleoprotein D-like (hnRNP D-like) (hnRNP DL) (AU-rich element RNA-binding factor) (JKT41-binding protein) (Protein laAUF1),420,46438
O14980,Exportin-1 (Exp1) (Chromosome region maintenance 1 protein homolog),1071,123386
O14981,TATA-binding protein-associated factor 172 (EC 3.6.4.-) (ATP-dependent helicase BTAF1) (B-TFIID transcription factor-associated 170 kDa subunit) (TAF(II)170) (TBP-associated factor 172) (TAF-172),1849,206887
O14983,"Sarcoplasmic/endoplasmic reticulum calcium ATPase 1 (SERCA1) (SR Ca(2+)-ATPase 1) (EC 7.2.2.10) (Calcium pump 1) (Calcium-transporting ATPase sarcoplasmic reticulum type, fast twitch skeletal muscle isoform) (Endoplasmic reticulum class 1/2 Ca(2+) ATPase)",1001,110252
O14986,Phosphatidylinositol 4-phosphate 5-kinase type-1 beta (PIP5K1-beta) (PtdIns(4)P-5-kinase 1 beta) (EC 2.7.1.68) (Phosphatidylinositol 4-phosphate 5-kinase type I beta) (PIP5KIbeta) (Protein STM-7) (Type I phosphatidylinositol 4-phosphate 5-kinase beta),540,61036
O14994,Synapsin-3 (Synapsin III),580,63303
O15013,Rho guanine nucleotide exchange factor 10,1369,151612
O15014,Zinc finger protein 609,1411,151191
O15015,Zinc finger protein 646,1832,200825
O15018,PDZ domain-containing protein 2 (Activated in prostate cancer protein) (PDZ domain-containing protein 3) [Cleaved into: Processed PDZ domain-containing protein 2],2839,301641
O15020,"Spectrin beta chain, non-erythrocytic 2 (Beta-III spectrin) (Spinocerebellar ataxia 5 protein)",2390,271325
O15021,Microtubule-associated serine/threonine-protein kinase 4 (EC 2.7.11.1),2623,284097
O15027,Protein transport protein Sec16A (SEC16 homolog A) (p250),2357,251894
O15031,Plexin-B2 (MM1),1838,205127
O15033,Apoptosis-resistant E3 ubiquitin protein ligase 1 (EC 2.3.2.26) (Apoptosis-resistant HECT-type E3 ubiquitin transferase 1),823,94223
O15040,Tectonin beta-propeller repeat-containing protein 2 (WD repeat-containing protein KIAA0329/KIAA0297),1411,153848
O15041,Semaphorin-3E,775,89228
O15042,U2 snRNP-associated SURP motif-containing protein (140 kDa Ser/Arg-rich domain protein) (U2-associated protein SR140),1029,118292
O15047,Histone-lysine N-methyltransferase SETD1A (EC 2.1.1.364) (Lysine N-methyltransferase 2F) (SET domain-containing protein 1A) (hSET1A) (Set1/Ash2 histone methyltransferase complex subunit SET1),1707,186034
O15049,NEDD4-binding protein 3 (N4BP3),544,60470
O15054,Lysine-specific demethylase 6B (EC 1.14.11.68) (JmjC domain-containing protein 3) (Jumonji domain-containing protein 3) (Lysine demethylase 6B) ([histone H3]-trimethyl-L-lysine(27) demethylase 6B),1643,176632
O15055,Period circadian protein homolog 2 (hPER2) (Circadian clock protein PERIOD 2),1255,136579
O15056,"Synaptojanin-2 (EC 3.1.3.36) (Synaptic inositol 1,4,5-trisphosphate 5-phosphatase 2)",1496,165538
O15060,Zinc finger and BTB domain-containing protein 39,712,79001
O15061,Synemin (Desmuslin),1565,172868
O15062,Zinc finger and BTB domain-containing protein 5,677,74278
O15066,"Kinesin-like protein KIF3B (HH0048) (Microtubule plus end-directed kinesin motor 3B) [Cleaved into: Kinesin-like protein KIF3B, N-terminally processed]",747,85125
O15067,Phosphoribosylformylglycinamidine synthase (FGAM synthase) (FGAMS) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase) (FGAR amidotransferase) (FGAR-AT) (Formylglycinamide ribotide amidotransferase) (Phosphoribosylformylglycineamide amidotransferase),1338,144734
O15068,Guanine nucleotide exchange factor DBS (DBL's big sister) (MCF2-transforming sequence-like protein),1137,128109
O15072,A disintegrin and metalloproteinase with thrombospondin motifs 3 (ADAM-TS 3) (ADAM-TS3) (ADAMTS-3) (EC 3.4.24.-) (Procollagen II N-proteinase) (PC II-NP) (Procollagen II amino propeptide-processing enzyme),1205,135603
O15075,Serine/threonine-protein kinase DCLK1 (EC 2.7.11.1) (Doublecortin domain-containing protein 3A) (Doublecortin-like and CAM kinase-like 1) (Doublecortin-like kinase 1),740,82224
O15078,Centrosomal protein of 290 kDa (Cep290) (Bardet-Biedl syndrome 14 protein) (Cancer/testis antigen 87) (CT87) (Nephrocystin-6) (Tumor antigen se2-2),2479,290386
O15079,Syntaphilin,494,53537
O15083,ERC protein 2,957,110558
O15084,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A (PP6-ARS-A) (Serine/threonine-protein phosphatase 6 regulatory subunit ARS-A) (Ankyrin repeat domain-containing protein 28) (Phosphatase interactor targeting protein hnRNP K) (PITK),1053,112966
O15085,Rho guanine nucleotide exchange factor 11 (PDZ-RhoGEF),1522,167704
O15091,Mitochondrial ribonuclease P catalytic subunit (EC 3.1.26.5) (Mitochondrial ribonuclease P protein 3) (Mitochondrial RNase P protein 3) (Protein only RNase P catalytic subunit),583,67315
O15105,Mothers against decapentaplegic homolog 7 (MAD homolog 7) (Mothers against DPP homolog 7) (Mothers against decapentaplegic homolog 8) (MAD homolog 8) (Mothers against DPP homolog 8) (SMAD family member 7) (SMAD 7) (Smad7) (hSMAD7),426,46426
O15111,Inhibitor of nuclear factor kappa-B kinase subunit alpha (I-kappa-B kinase alpha) (IKK-A) (IKK-alpha) (IkBKA) (IkappaB kinase) (EC 2.7.11.10) (Conserved helix-loop-helix ubiquitous kinase) (I-kappa-B kinase 1) (IKK1) (Nuclear factor NF-kappa-B inhibitor kinase alpha) (NFKBIKA) (Transcription factor 16) (TCF-16),745,84640
O15116,U6 snRNA-associated Sm-like protein LSm1 (Cancer-associated Sm-like) (Small nuclear ribonuclear CaSm),133,15179
O15117,FYN-binding protein 1 (Adhesion and degranulation promoting adaptor protein) (ADAP) (FYB-120/130) (p120/p130) (FYN-T-binding protein) (SLAP-130) (SLP-76-associated phosphoprotein),783,85387
O15118,NPC intracellular cholesterol transporter 1 (Niemann-Pick C1 protein),1278,142167
O15119,T-box transcription factor TBX3 (T-box protein 3),743,79389
O15120,1-acyl-sn-glycerol-3-phosphate acyltransferase beta (EC 2.3.1.51) (1-acylglycerol-3-phosphate O-acyltransferase 2) (1-AGP acyltransferase 2) (1-AGPAT 2) (Lysophosphatidic acid acyltransferase beta) (LPAAT-beta),278,30914
O15121,Sphingolipid delta(4)-desaturase DES1 (EC 1.14.19.17) (Cell migration-inducing gene 15 protein) (Degenerative spermatocyte homolog 1) (Dihydroceramide desaturase-1) (Membrane lipid desaturase) (Retinol isomerase) (EC 5.2.1.-),323,37866
O15123,Angiopoietin-2 (ANG-2),496,56919
O15126,Secretory carrier-associated membrane protein 1 (Secretory carrier membrane protein 1),338,37920
O15127,Secretory carrier-associated membrane protein 2 (Secretory carrier membrane protein 2),329,36649
O15130,Pro-FMRFamide-related neuropeptide FF (FMRFamide-related peptides) [Cleaved into: Neuropeptide SF (NPSF); Neuropeptide FF (NPFF); Neuropeptide AF (NPAF)],113,12440
O15131,Importin subunit alpha-6 (Karyopherin subunit alpha-5),539,60666
O15143,Actin-related protein 2/3 complex subunit 1B (Arp2/3 complex 41 kDa subunit) (p41-ARC),372,40950
O15144,Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit) (p34-ARC),300,34333
O15145,Actin-related protein 2/3 complex subunit 3 (Arp2/3 complex 21 kDa subunit) (p21-ARC),178,20547
O15146,"Muscle, skeletal receptor tyrosine-protein kinase (EC 2.7.10.1) (Muscle-specific tyrosine-protein kinase receptor) (MuSK) (Muscle-specific kinase receptor)",869,97056
O15151,Protein Mdm4 (Double minute 4 protein) (Mdm2-like p53-binding protein) (Protein Mdmx) (p53-binding protein Mdm4),490,54864
O15155,BET1 homolog (hBET1) (Golgi vesicular membrane-trafficking protein p18),118,13289
O15156,Zinc finger and BTB domain-containing protein 7B (Krueppel-related zinc finger protein cKrox) (hcKrox) (T-helper-inducing POZ/Krueppel-like factor) (Zinc finger and BTB domain-containing protein 15) (Zinc finger protein 67 homolog) (Zfp-67) (Zinc finger protein 857B) (Zinc finger protein Th-POK),539,58027
O15160,DNA-directed RNA polymerases I and III subunit RPAC1 (DNA-directed RNA polymerase I subunit C) (RNA polymerases I and III subunit AC1) (AC40) (DNA-directed RNA polymerases I and III 40 kDa polypeptide) (RPA40) (RPA39) (RPC40),346,39250
O15162,Phospholipid scramblase 1 (PL scramblase 1) (Ca(2+)-dependent phospholipid scramblase 1) (Erythrocyte phospholipid scramblase) (Mg(2+)-dependent nuclease) (EC 3.1.-.-) (MmTRA1b),318,35049
O15164,Transcription intermediary factor 1-alpha (TIF1-alpha) (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRIM24) (RING finger protein 82) (RING-type E3 ubiquitin transferase TIF1-alpha) (Tripartite motif-containing protein 24),1050,116831
O15165,Low-density lipoprotein receptor class A domain-containing protein 4,306,33900
O15169,Axin-1 (Axis inhibition protein 1) (hAxin),862,95635
O15173,Membrane-associated progesterone receptor component 2 (Progesterone membrane-binding protein) (Steroid receptor protein DG6),223,23818
O15178,T-box transcription factor T (Brachyury protein) (Protein T),435,47443
O15182,Centrin-3,167,19550
O15194,CTD small phosphatase-like protein (CTDSP-like) (EC 3.1.3.16) (Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 3) (NIF-like protein) (Nuclear LIM interactor-interacting factor 1) (NLI-interacting factor 1) (Protein YA22) (hYA22) (RBSP3) (Small C-terminal domain phosphatase 3) (SCP3) (Small CTD phosphatase 3),276,31129
O15195,Villin-like protein,856,95907
O15197,Ephrin type-B receptor 6 (HEP) (Tyrosine-protein kinase-defective receptor EPH-6),1021,110700
O15198,Mothers against decapentaplegic homolog 9 (MAD homolog 9) (Mothers against DPP homolog 9) (Madh6) (SMAD family member 9) (SMAD 9) (Smad9),467,52493
O15204,ADAM DEC1 (EC 3.4.24.-) (A disintegrin and metalloproteinase domain-like protein decysin-1) (ADAM-like protein decysin-1),470,52775
O15205,Ubiquitin D (Diubiquitin) (Ubiquitin-like protein FAT10),165,18473
O15209,Zinc finger and BTB domain-containing protein 22 (Protein BING1) (Zinc finger and BTB domain-containing protein 22A) (Zinc finger protein 297),634,65602
O15211,Ral guanine nucleotide dissociation stimulator-like 2 (RalGDS-like 2) (RalGDS-like factor) (Ras-associated protein RAB2L),777,83549
O15212,Prefoldin subunit 6 (Protein Ke2),129,14583
O15217,Glutathione S-transferase A4 (EC 2.5.1.18) (GST class-alpha member 4) (Glutathione S-transferase A4-4),222,25704
O15226,NF-kappa-B-repressing factor (NFkB-repressing factor) (NRF) (Protein ITBA4),690,77673
O15228,Dihydroxyacetone phosphate acyltransferase (DAP-AT) (DHAP-AT) (EC 2.3.1.42) (Acyl-CoA:dihydroxyacetonephosphateacyltransferase) (Glycerone-phosphate O-acyltransferase),680,77188
O15229,Kynurenine 3-monooxygenase (EC 1.14.13.9) (Kynurenine 3-hydroxylase),486,55810
O15230,Laminin subunit alpha-5 (Laminin-10 subunit alpha) (Laminin-11 subunit alpha) (Laminin-15 subunit alpha),3695,399737
O15231,Zinc finger protein 185 (LIM domain protein ZNF185) (P1-A),689,73525
O15232,Matrilin-3,486,52817
O15234,Protein CASC3 (Cancer susceptibility candidate gene 3 protein) (Metastatic lymph node gene 51 protein) (MLN 51) (Protein barentsz) (Btz),703,76278
O15239,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1 (Complex I-MWFE) (CI-MWFE) (NADH-ubiquinone oxidoreductase MWFE subunit),70,8072
O15240,Neurosecretory protein VGF [Cleaved into: Neuroendocrine regulatory peptide-1 (NERP-1); Neuroendocrine regulatory peptide-2 (NERP-2); VGF-derived peptide TLQP-21; VGF-derived peptide TLQP-62; Antimicrobial peptide VGF[554-577]],615,67258
O15243,Leptin receptor gene-related protein (Endospanin-1) (Leptin receptor overlapping transcript protein) (OB-R gene-related protein) (OB-RGRP),131,14254
O15244,Solute carrier family 22 member 2 (Organic cation transporter 2) (hOCT2),555,62581
O15245,Solute carrier family 22 member 1 (Organic cation transporter 1) (hOCT1),554,61154
O15247,Chloride intracellular channel protein 2 (XAP121),247,28356
O15254,Peroxisomal acyl-coenzyme A oxidase 3 (EC 1.3.3.6) (Branched-chain acyl-CoA oxidase) (BRCACox) (Pristanoyl-CoA oxidase),700,77629
O15258,Protein RER1,196,22958
O15259,Nephrocystin-1 (Juvenile nephronophthisis 1 protein),732,83299
O15260,Surfeit locus protein 4,269,30394
O15263,"Defensin beta 4A (Beta-defensin 2) (BD-2) (hBD-2) (Defensin, beta 2) (Skin-antimicrobial peptide 1) (SAP1)",64,7038
O15264,Mitogen-activated protein kinase 13 (MAP kinase 13) (MAPK 13) (EC 2.7.11.24) (Mitogen-activated protein kinase p38 delta) (MAP kinase p38 delta) (Stress-activated protein kinase 4),365,42090
O15265,Ataxin-7 (Spinocerebellar ataxia type 7 protein),892,95451
O15266,Short stature homeobox protein (Pseudoautosomal homeobox-containing osteogenic protein) (Short stature homeobox-containing protein),292,32236
O15269,Serine palmitoyltransferase 1 (EC 2.3.1.50) (Long chain base biosynthesis protein 1) (LCB 1) (Serine-palmitoyl-CoA transferase 1) (SPT 1) (SPT1),473,52744
O15270,Serine palmitoyltransferase 2 (EC 2.3.1.50) (Long chain base biosynthesis protein 2) (LCB 2) (Long chain base biosynthesis protein 2a) (LCB2a) (Serine-palmitoyl-CoA transferase 2) (SPT 2),562,62924
O15273,Telethonin (Titin cap protein),167,19052
O15287,Fanconi anemia group G protein (Protein FACG) (DNA repair protein XRCC9),622,68554
O15294,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit (EC 2.4.1.255) (O-GlcNAc transferase subunit p110) (O-linked N-acetylglucosamine transferase 110 kDa subunit) (OGT),1046,116925
O15296,Polyunsaturated fatty acid lipoxygenase ALOX15B (15-lipoxygenase 2) (15-LOX-2) (Arachidonate 15-lipoxygenase B) (15-LOX-B) (EC 1.13.11.33) (Arachidonate 15-lipoxygenase type II) (Linoleate 13-lipoxygenase 15-LOb) (EC 1.13.11.-),676,75857
O15297,Protein phosphatase 1D (EC 3.1.3.16) (Protein phosphatase 2C isoform delta) (PP2C-delta) (Protein phosphatase magnesium-dependent 1 delta) (p53-induced protein phosphatase 1),605,66675
O15303,Metabotropic glutamate receptor 6 (mGluR6),877,95468
O15304,Apoptosis regulatory protein Siva (CD27-binding protein) (CD27BP),175,18695
O15305,Phosphomannomutase 2 (PMM 2) (EC 5.4.2.8),246,28082
O15315,DNA repair protein RAD51 homolog 2 (R51H2) (RAD51 homolog B) (Rad51B) (RAD51-like protein 1),384,42196
O15318,DNA-directed RNA polymerase III subunit RPC7 (RNA polymerase III subunit C7) (DNA-directed RNA polymerase III subunit G) (RNA polymerase III 32 kDa apha subunit) (RPC32-alpha) (RNA polymerase III 32 kDa subunit) (RPC32),223,25914
O15327,"Inositol polyphosphate 4-phosphatase type II (Type II inositol 3,4-bisphosphate 4-phosphatase) (EC 3.1.3.66)",924,104738
O15342,V-type proton ATPase subunit e 1 (V-ATPase subunit e 1) (V-ATPase 9.2 kDa membrane accessory protein) (V-ATPase M9.2 subunit) (Vacuolar proton pump subunit e 1),81,9374
O15344,E3 ubiquitin-protein ligase Midline-1 (EC 2.3.2.27) (Midin) (Putative transcription factor XPRF) (RING finger protein 59) (RING finger protein Midline-1) (RING-type E3 ubiquitin transferase Midline-1) (Tripartite motif-containing protein 18),667,75251
O15347,High mobility group protein B3 (High mobility group protein 2a) (HMG-2a) (High mobility group protein 4) (HMG-4),200,22980
O15350,Tumor protein p73 (p53-like transcription factor) (p53-related protein),636,69623
O15353,Forkhead box protein N1 (Winged-helix transcription factor nude),648,68925
O15354,Prosaposin receptor GPR37 (Endothelin B receptor-like protein 1) (ETBR-LP-1) (G-protein coupled receptor 37) (Parkin-associated endothelin receptor-like receptor) (PAELR),613,67114
O15355,Protein phosphatase 1G (EC 3.1.3.16) (Protein phosphatase 1C) (Protein phosphatase 2C isoform gamma) (PP2C-gamma) (Protein phosphatase magnesium-dependent 1 gamma),546,59272
O15357,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 (EC 3.1.3.86) (Inositol polyphosphate phosphatase-like protein 1) (INPPL-1) (Protein 51C) (SH2 domain-containing inositol 5'-phosphatase 2) (SH2 domain-containing inositol phosphatase 2) (SHIP-2)",1258,138599
O15360,Fanconi anemia group A protein (Protein FACA),1455,162775
O15371,Eukaryotic translation initiation factor 3 subunit D (eIF3d) (Eukaryotic translation initiation factor 3 subunit 7) (eIF-3-zeta) (eIF3 p66),548,63973
O15372,Eukaryotic translation initiation factor 3 subunit H (eIF3h) (Eukaryotic translation initiation factor 3 subunit 3) (eIF-3-gamma) (eIF3 p40 subunit),352,39930
O15379,Histone deacetylase 3 (HD3) (EC 3.5.1.98) (Protein deacetylase HDAC3) (EC 3.5.1.-) (Protein deacylase HDAC3) (EC 3.5.1.-) (RPD3-2) (SMAP45),428,48848
O15381,Nuclear valosin-containing protein-like (NVLp) (Nuclear VCP-like protein),856,95051
O15382,"Branched-chain-amino-acid aminotransferase, mitochondrial (BCAT(m)) (EC 2.6.1.42) (Placental protein 18) (PP18)",392,44288
O15389,Sialic acid-binding Ig-like lectin 5 (Siglec-5) (CD33 antigen-like 2) (Obesity-binding protein 2) (OB-BP2) (OB-binding protein 2) (CD antigen CD170),551,60715
O15391,Transcription factor YY2 (Yin and yang 2) (YY-2) (Zinc finger protein 631),372,41347
O15392,Baculoviral IAP repeat-containing protein 5 (Apoptosis inhibitor 4) (Apoptosis inhibitor survivin),142,16389
O15393,Transmembrane protease serine 2 (EC 3.4.21.-) (Serine protease 10) [Cleaved into: Transmembrane protease serine 2 non-catalytic chain; Transmembrane protease serine 2 catalytic chain],492,53859
O15394,Neural cell adhesion molecule 2 (N-CAM-2) (NCAM-2),837,93046
O15397,Importin-8 (Imp8) (Ran-binding protein 8) (RanBP8),1037,119938
O15399,"Glutamate receptor ionotropic, NMDA 2D (GluN2D) (EB11) (Glutamate [NMDA] receptor subunit epsilon-4) (N-methyl D-aspartate receptor subtype 2D) (NMDAR2D) (NR2D)",1336,143752
O15400,Syntaxin-7,261,29816
O15405,TOX high mobility group box family member 3 (CAG trinucleotide repeat-containing gene F9 protein) (Trinucleotide repeat-containing gene 9 protein),576,63342
O15409,Forkhead box protein P2 (CAG repeat protein 44) (Trinucleotide repeat-containing gene 10 protein),715,79919
O15427,Monocarboxylate transporter 4 (MCT 4) (Solute carrier family 16 member 3),465,49469
O15431,High affinity copper uptake protein 1 (Copper transporter 1) (hCTR1) (Solute carrier family 31 member 1),190,21091
